"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",40840,"13.65.102.222",8883,30,9162,16,2167,14,6995,586.000293009,14.971610603000045,1157.924852555688,3737.7408138565006
"192.168.1.104",40842,"13.65.102.222",8883,28,9031,15,2101,13,6930,631.082880713,14.970308678000038,1122.755740147201,3703.330451794433
"192.168.1.104",40844,"13.65.102.222",8883,30,9162,16,2167,14,6995,676.143711459,14.970893842999999,1157.9802904090368,3737.919765302821
"192.168.1.104",40846,"13.65.102.222",8883,30,9161,16,2167,14,6994,721.200414522,14.973438360000046,1157.7835085835254,3736.750281048997
"192.168.1.104",40848,"13.65.102.222",8883,30,9163,16,2167,14,6996,766.282848878,14.972576942000046,1157.850119398635,3738.033888007775
"192.168.1.104",40850,"13.65.102.222",8883,30,9164,16,2167,14,6997,811.343724199,14.970982589999949,1157.9734259780512,3738.966341286767
"192.168.1.104",40852,"13.65.102.222",8883,30,9162,16,2167,14,6995,856.406897031,14.965126848000068,1158.4265323027832,3739.3602184854494
"192.168.1.104",40854,"13.65.102.222",8883,30,9159,16,2167,14,6992,901.483673382,14.971914586000025,1157.9013425718172,3736.0619230559046
"192.168.1.104",40856,"13.65.102.222",8883,30,9166,16,2167,14,6999,946.543679692,14.970367200000055,1158.0210270326527,3740.1888178133527
"192.168.1.104",40858,"13.65.102.222",8883,30,9160,16,2167,14,6993,991.601704209,14.971484723999993,1157.9345882916728,3736.703542189048
"192.168.1.104",40860,"13.65.102.222",8883,30,9163,16,2167,14,6996,1036.684036317,14.967762042999993,1158.2225819863008,3739.236356057296
"192.168.1.104",40862,"13.65.102.222",8883,30,9167,16,2167,14,7000,1081.743474216,14.970269030999816,1158.028620868558,3740.747737000418
"192.168.1.104",40864,"13.65.102.222",8883,30,9160,16,2167,14,6993,1126.800333624,14.97183141100004,1157.9077752146586,3736.6170152635477
"192.168.1.104",40866,"13.65.102.222",8883,30,9160,16,2167,14,6993,1171.882541247,14.969126882999944,1158.1169787322767,3737.2921238000977
"192.168.1.104",40868,"13.65.102.222",8883,31,9233,17,2233,14,7000,1216.944113994,14.970077305000132,1193.3138110137397,3740.795645811096
"192.168.1.104",40870,"13.65.102.222",8883,30,9161,16,2167,14,6994,1261.999814932,14.970474234999983,1158.012747483281,3737.4901503913557
"192.168.1.104",40872,"13.65.102.222",8883,30,9160,16,2167,14,6993,1307.082126084,14.970809380999981,1157.9868234780795,3736.8721073291226
"192.168.1.104",40874,"13.65.102.222",8883,30,9165,16,2167,14,6998,1352.143506165,14.973722629000122,1157.7615286144526,3738.816417740627
"192.168.1.104",40876,"13.65.102.222",8883,30,9164,16,2167,14,6997,1397.221151883,14.960296237999955,1158.80058283643,3741.6371380279193
"192.168.1.104",40878,"13.65.102.222",8883,30,9161,16,2167,14,6994,1442.294110262,14.971329516999958,1157.9465925397578,3737.2766350821717
"192.168.1.104",40880,"13.65.102.222",8883,30,9165,16,2167,14,6998,1487.376357061,14.96759668499999,1158.235377719226,3740.346642030062
"192.168.1.104",40882,"13.65.102.222",8883,30,9160,16,2167,14,6993,1532.454587645,14.972876451000047,1157.8269584160041,3736.3562160605065
"192.168.1.104",40884,"13.65.102.222",8883,30,9160,16,2167,14,6993,1577.536638947,14.971042946999887,1157.9687575122505,3736.813807698739
"192.168.1.104",40886,"13.65.102.222",8883,30,9163,16,2167,14,6996,1622.61968941,14.970412043999886,1158.0175581705673,3738.574451758786
"192.168.1.104",40888,"13.65.102.222",8883,30,9161,16,2167,14,6994,1667.701877046,14.971409362000031,1157.9404170192354,3737.256703568312
"192.168.1.104",40890,"13.65.102.222",8883,30,9162,16,2167,14,6995,1712.783883343,14.97266932499997,1157.842975337334,3737.476517067214
"192.168.1.104",40892,"13.65.102.222",8883,30,9160,16,2167,14,6993,1757.86703967,14.966359599000043,1158.3311148796854,3737.9831501401195
"192.168.1.104",40894,"13.65.102.222",8883,30,9164,16,2167,14,6997,1802.943804537,14.968902600000092,1158.134331103196,3739.485885892507
"192.168.1.104",40896,"13.65.102.222",8883,31,9225,17,2233,14,6992,1848.024530528,14.970493709000039,1193.2806190126134,3736.4165195415103
"192.168.1.104",40898,"13.65.102.222",8883,30,9159,16,2167,14,6992,1893.107082897,14.969327664000048,1158.1014451097624,3736.707570008057
"192.168.1.104",40900,"13.65.102.222",8883,30,9159,16,2167,14,6992,1938.185137001,14.967804876000173,1158.2192675291392,3737.087733531953
"192.168.1.104",40902,"13.65.102.222",8883,30,9164,16,2167,14,6997,1983.264413533,14.969799606000151,1158.0649344865935,3739.261811999398
"192.168.1.104",40904,"13.65.102.222",8883,30,9161,16,2167,14,6994,2028.347326831,14.969355509000025,1158.0992908864432,3737.7694695245887
"192.168.1.104",40906,"13.65.102.222",8883,30,9162,16,2167,14,6995,2073.429644157,14.970024033999835,1158.0475729782781,3738.136951076629
"192.168.1.104",40908,"13.65.102.222",8883,30,9164,16,2167,14,6997,2118.512219995,14.968891643999996,1158.1351787624715,3739.4886228892537
"192.168.1.104",40910,"13.65.102.222",8883,30,9159,16,2167,14,6992,2163.594073326,14.971533676000035,1157.930802225713,3736.1569770014703
"192.168.1.104",40912,"13.65.102.222",8883,30,9163,16,2167,14,6996,2208.676326958,14.972184128999743,1157.8804969691605,3738.131959758305
"192.168.1.104",40914,"13.65.102.222",8883,31,9225,17,2233,14,6992,2253.759394234,14.965942753000036,1193.6434807235266,3737.552717070711
"192.168.1.104",40916,"13.65.102.222",8883,30,9162,16,2167,14,6995,2298.836654579,14.968927253999937,1158.132423642285,3738.4108460442008
"192.168.1.104",40918,"13.65.102.222",8883,30,9167,16,2167,14,7000,2343.912880464,14.97023957700003,1158.0308992940018,3740.7550969349386
"192.168.1.104",40920,"13.65.102.222",8883,31,9229,17,2233,14,6996,2388.994153889,14.968166434000068,1193.4661522350573,3739.135334096042
"192.168.1.104",40922,"13.65.102.222",8883,31,9224,17,2233,14,6991,2434.073660357,14.97321049500033,1193.0641064563226,3735.2042849243844
"192.168.1.104",40924,"13.65.102.222",8883,30,9166,16,2167,14,6999,2479.155107137,14.970928847999858,1157.9775828215309,3740.0485012311465
"192.168.1.104",40926,"13.65.102.222",8883,30,9161,16,2167,14,6994,2524.234853589,14.972589935000087,1157.8491146328117,3736.962024800132
"192.168.1.104",40928,"13.65.102.222",8883,30,9164,16,2167,14,6997,2569.320147646,14.974043850000271,1157.7366924833525,3738.2019553788728
"192.168.1.104",40930,"13.65.102.222",8883,30,9162,16,2167,14,6995,2614.402766289,14.972457544000008,1157.8593526850339,3737.5293825712097
"192.168.1.104",40932,"13.65.102.222",8883,31,9226,17,2233,14,6993,2659.484927705,14.969615107000209,1193.3506554651692,3737.1702345131794
"192.168.1.104",40934,"13.65.102.222",8883,30,9165,16,2167,14,6998,2704.566990183,14.964935077000064,1158.4413771793822,3741.0118862488775
"192.168.1.104",40936,"13.65.102.222",8883,31,9229,17,2233,14,6996,2749.644416913,14.971885837000173,1193.1696644288133,3738.2064363385484
"192.168.1.104",40938,"13.65.102.222",8883,30,9163,16,2167,14,6996,2794.726999226,14.964681299999938,1158.4610224876672,3740.006143665768
"192.168.1.104",40940,"13.65.102.222",8883,30,9163,16,2167,14,6996,2839.799875443,14.962373293999917,1158.639719739644,3740.583054590932
"192.168.1.104",40942,"13.65.102.222",8883,30,9188,16,2191,14,6997,2884.874526934,14.967118353999922,1171.1005141691612,3739.9316739578376
"192.168.1.104",40944,"13.65.102.222",8883,30,9163,16,2167,14,6996,2929.954792923,14.969899844000338,1158.0571801185397,3738.7023683014786
"192.168.1.104",40946,"13.65.102.222",8883,30,9162,16,2167,14,6995,2975.023932989,14.969421493000027,1158.094186078375,3738.2874165289495
"192.168.1.104",40948,"13.65.102.222",8883,31,9230,17,2233,14,6997,3020.105781864,14.966808266000044,1193.5744537184644,3740.009159278144
"192.168.1.104",40950,"13.65.102.222",8883,30,9161,16,2167,14,6994,3065.185061603,14.969808734999788,1158.064228266858,3737.656304798526
"192.168.1.104",40952,"13.65.102.222",8883,30,9160,16,2167,14,6993,3110.266825617,14.97022426600006,1158.032083685815,3737.0181639201223
"192.168.1.104",40954,"13.65.102.222",8883,30,9161,16,2167,14,6994,3155.349598293,14.969714087000284,1158.0715502812843,3737.679936625428
"192.168.1.104",40956,"13.65.102.222",8883,30,9161,16,2167,14,6994,3200.43080272,14.963061155000105,1158.5864563687187,3739.341797804716
"192.168.1.104",40958,"13.65.102.222",8883,31,9227,17,2233,14,6994,3245.504561323,14.968900395000219,1193.4076337341905,3737.883112555722
"192.168.1.104",40960,"13.65.102.222",8883,30,9166,16,2167,14,6999,3290.585929333,14.969433626999944,1158.0932473444784,3740.4220757563476
"192.168.1.104",40962,"13.65.102.222",8883,31,9228,17,2233,14,6995,3335.668324681,14.96594059400013,1193.6436529195971,3739.156897524667
"192.168.1.104",40964,"13.65.102.222",8883,30,9161,16,2167,14,6994,3380.744919183,14.967699599999833,1158.2274139173794,3738.18298705037
"192.168.1.104",40966,"13.65.102.222",8883,30,9186,16,2191,14,6995,3425.824395144,14.971636711999963,1170.7470824449726,3737.7342956196185
"192.168.1.104",40968,"13.65.102.222",8883,30,9163,16,2167,14,6996,3470.901991156,14.971579100000326,1157.9272890459245,3738.2830245340506
"192.168.1.104",40970,"13.65.102.222",8883,30,9163,16,2167,14,6996,3515.983625688,14.971817277000355,1157.9088683263249,3738.2235545966632
"192.168.1.104",40972,"13.65.102.222",8883,30,9156,16,2167,14,6989,3561.06361937,14.968232673999864,1158.1861651651766,3735.37753038275
"192.168.1.104",40974,"13.65.102.222",8883,30,9160,16,2167,14,6993,3606.143834176,14.970111092000025,1158.0408384052873,3737.046415767501
"192.168.1.104",40976,"13.65.102.222",8883,30,9161,16,2167,14,6994,3651.224372422,14.971493604999978,1157.9339014118375,3737.235674422885
"192.168.1.104",40978,"13.65.102.222",8883,30,9166,16,2167,14,6999,3696.307601331,14.970802934999938,1157.987322074123,3740.0799571743364
"192.168.1.104",40980,"13.65.102.222",8883,30,9163,16,2167,14,6996,3741.373744117,14.971933705000083,1157.8998639441213,3738.194484611478
"192.168.1.104",40982,"13.65.102.222",8883,31,9228,17,2233,14,6995,3786.45635828,14.966495955000028,1193.5993604456205,3739.0181488209205
"192.168.1.104",40984,"13.65.102.222",8883,31,9229,17,2233,14,6996,3831.533312178,14.970347179999862,1193.2922987828906,3738.5906503739825
"192.168.1.104",40986,"13.65.102.222",8883,31,9229,17,2233,14,6996,3876.593450493,14.967560621999837,1193.5144577762976,3739.286675594706
"192.168.1.104",40988,"13.65.102.222",8883,30,9161,16,2167,14,6994,3921.673398259,14.967721300999983,1158.2257346575389,3738.177567233423
"192.168.1.104",40990,"13.65.102.222",8883,30,9160,16,2167,14,6993,3966.753668185,14.971910986999774,1157.9016209121858,3736.5971550710265
"192.168.1.104",40992,"13.65.102.222",8883,30,9163,16,2167,14,6996,4011.836166656,14.973073097999986,1157.8117522391337,3737.9100224573053
"192.168.1.104",40994,"13.65.102.222",8883,30,9160,16,2167,14,6993,4056.919278366,14.963931566000156,1158.519064561179,3738.5896716549723
"192.168.1.104",40996,"13.65.102.222",8883,30,9165,16,2167,14,6998,4101.995017776,14.973303529999612,1157.7939340684993,3738.9210662719697
"192.168.1.104",40998,"13.65.102.222",8883,31,9228,17,2233,14,6995,4147.078055993,14.970969623000201,1193.2426856678126,3737.9008447139945
"192.168.1.104",41000,"13.65.102.222",8883,31,9230,17,2233,14,6997,4192.161232181,14.971876563000478,1193.1704035115233,3738.7430870443927
"192.168.1.104",41002,"13.65.102.222",8883,30,9160,16,2167,14,6993,4237.223398557,14.970563496000068,1158.005842908448,3736.9334838296154
"192.168.1.104",41004,"13.65.102.222",8883,30,9161,16,2167,14,6994,4282.306891301,14.972742994999862,1157.8372784325054,3736.9238234226777
"192.168.1.104",41006,"13.65.102.222",8883,30,9160,16,2167,14,6993,4327.389642257,14.971281314000407,1157.950320777703,3736.75431158213
"192.168.1.104",41008,"13.65.102.222",8883,28,9056,15,2125,13,6931,4372.443567032,14.971227281999745,1135.5114500492218,3703.637581313485
"192.168.1.104",41010,"13.65.102.222",8883,30,9160,16,2167,14,6993,4417.524702285,14.971990496000217,1157.8954718566868,3736.577311810711
"192.168.1.104",41012,"13.65.102.222",8883,30,9163,16,2167,14,6996,4462.607891195,14.972292389999893,1157.8721246172593,3738.1049302364313
"192.168.1.104",41014,"13.65.102.222",8883,30,9165,16,2167,14,6998,4507.69078624,14.97349814900008,1157.7788855677447,3738.872469406127
"192.168.1.104",41016,"13.65.102.222",8883,31,9228,17,2233,14,6995,4552.758974425,14.970418222000262,1193.286636023794,3738.0385217135868
"192.168.1.104",41018,"13.65.102.222",8883,28,9030,15,2101,13,6929,4597.841831553,14.971718986999804,1122.6499785759183,3702.447263946948
"192.168.1.104",41020,"13.65.102.222",8883,31,9233,17,2233,14,7000,4642.924302362,14.973547249999683,1193.0372744508072,3739.928760033878
"192.168.1.104",41022,"13.65.102.222",8883,31,9227,17,2233,14,6994,4688.008285478,14.973986017999778,1193.0023160517328,3736.6136132851857
"192.168.1.104",41024,"13.65.102.222",8883,30,9162,16,2167,14,6995,4733.063494682,14.975716832999751,1157.6073581866376,3736.7159531682187
"192.168.1.104",41026,"13.65.102.222",8883,30,9165,16,2167,14,6998,4778.146961128,14.972822552999787,1157.8311262712957,3739.0411728871836
"192.168.1.104",41028,"13.65.102.222",8883,30,9160,16,2167,14,6993,4823.229887509,14.970439826999609,1158.0154090552528,3736.964354187071
"192.168.1.104",41030,"13.65.102.222",8883,31,9225,17,2233,14,6992,4868.303610677,14.970672594000462,1193.2663604679356,3736.3718729923
"192.168.1.104",41032,"13.65.102.222",8883,31,9231,17,2233,14,6998,4913.386768176,14.970120275999761,1193.3103856646853,3739.7161123517544
"192.168.1.104",41034,"13.65.102.222",8883,30,9160,16,2167,14,6993,4958.469527049,14.963101364999602,1158.5833429258776,3738.7971006371304
"192.168.1.104",41036,"13.65.102.222",8883,30,9160,16,2167,14,6993,5003.542624258,14.971695180000097,1157.9183112917135,3736.6510156266513
"192.168.1.104",41038,"13.65.102.222",8883,30,9162,16,2167,14,6995,5048.62340991,14.971835305999775,1157.9074739790128,3737.6847164204864
"192.168.1.104",41040,"13.65.102.222",8883,30,9163,16,2167,14,6996,5093.683454239,14.968420474000595,1158.1716340820178,3739.071874498291
"192.168.1.104",41042,"13.65.102.222",8883,30,9161,16,2167,14,6994,5138.763887198,14.970653778999804,1157.9988593629894,3737.4453264350477
"192.168.1.104",41044,"13.65.102.222",8883,30,9161,16,2167,14,6994,5183.847042023,14.974019863000649,1157.738547070822,3736.6051676111347
"192.168.1.104",41046,"13.65.102.222",8883,30,9186,16,2191,14,6995,5228.90345285,14.971333163000054,1170.7708197502716,3737.8100794856914
"192.168.1.104",41048,"13.65.102.222",8883,30,9164,16,2167,14,6997,5273.983597462,14.967705744000341,1158.2269384838064,3739.7849047398217
"192.168.1.104",41050,"13.65.102.222",8883,31,9228,17,2233,14,6995,5319.062753227,14.973736326000108,1193.0222097594503,3737.2101913422994
"192.168.1.104",41052,"13.65.102.222",8883,31,9226,17,2233,14,6993,5364.146698368,14.97326994299965,1193.0593696637275,3736.2580260002
"192.168.1.104",41054,"13.65.102.222",8883,30,9162,16,2167,14,6995,5409.229828619,14.96161806300006,1158.698205434863,3740.237169827811
"192.168.1.104",41056,"13.65.102.222",8883,30,9161,16,2167,14,6994,5454.303344295,14.96042291699996,1158.7907705670943,3740.0012225871055
"192.168.1.104",41058,"13.65.102.222",8883,28,9034,15,2101,13,6933,5499.376323519,14.972936731999653,1122.5586737489189,3704.2833341747996
"192.168.1.104",41060,"13.65.102.222",8883,30,9162,16,2167,14,6995,5544.443490116,14.975197433000176,1157.647508659714,3736.8455574871714
"192.168.1.104",41062,"13.65.102.222",8883,30,9162,16,2167,14,6995,5589.520227275,14.974221143999785,1157.7229849411292,3737.0891922765104
"192.168.1.104",41064,"13.65.102.222",8883,30,9162,16,2167,14,6995,5634.579885007,14.970001612000488,1158.04930749659,3738.1425500409077
"192.168.1.104",41066,"13.65.102.222",8883,30,9161,16,2167,14,6994,5679.638764135,14.969496265000089,1158.0884014469473,3737.734323820927
"192.168.1.104",41068,"13.65.102.222",8883,30,9162,16,2167,14,6995,5724.718573016,14.96505834799973,1158.4318348025135,3739.3773347686124
"192.168.1.104",41070,"13.65.102.222",8883,30,9160,16,2167,14,6993,5769.793475958,14.969316368999898,1158.1023189476634,3737.244816059534
"192.168.1.104",41072,"13.65.102.222",8883,30,9162,16,2167,14,6995,5814.873517481,14.972883891000492,1157.8263830937651,3737.422957886888
"192.168.1.104",41074,"13.65.102.222",8883,30,9165,16,2167,14,6998,5859.956102912,14.971179260000099,1157.9582141747653,3739.4515841232155
"192.168.1.104",41076,"13.65.102.222",8883,30,9164,16,2167,14,6997,5905.039049398,14.963028205999763,1158.589007608015,3740.9539853406923
"192.168.1.104",41078,"13.65.102.222",8883,30,9160,16,2167,14,6993,5950.114209097,14.973627688000306,1157.7688694565895,3736.1687605491143
"192.168.1.104",41080,"13.65.102.222",8883,31,9222,17,2233,14,6989,5995.197486229,14.965516353000567,1193.6774902135796,3736.0555213178272
"192.168.1.104",41082,"13.65.102.222",8883,30,9164,16,2167,14,6997,6040.273545934,14.972980143999848,1157.8189400689942,3738.4675236099456
"192.168.1.104",41084,"13.65.102.222",8883,30,9164,16,2167,14,6997,6085.356572012,14.966032113000438,1158.356461425795,3740.203119795241
"192.168.1.104",41086,"13.65.102.222",8883,30,9161,16,2167,14,6994,6130.434491983,14.967536099999961,1158.240065978531,3738.2238216215255
"192.168.1.104",41088,"13.65.102.222",8883,30,9187,16,2191,14,6996,6175.51427763,14.968045724999683,1171.0279566239346,3739.1654881520067
"192.168.1.104",41090,"13.65.102.222",8883,30,9162,16,2167,14,6995,6220.594308572,14.97094493700024,1157.9763383642269,3737.9070082407784
"192.168.1.104",41092,"13.65.102.222",8883,30,9163,16,2167,14,6996,6265.67405713,14.97050805500021,1158.010131406977,3738.5504749991746
"192.168.1.104",41094,"13.65.102.222",8883,30,9161,16,2167,14,6994,6310.733626571,14.969731002999652,1158.0702416447025,3737.6757129963307
"192.168.1.104",41096,"13.65.102.222",8883,30,9161,16,2167,14,6994,6355.815829352,14.971828292999817,1157.9080163580002,3737.152130322036
"192.168.1.104",41098,"13.65.102.222",8883,28,9032,15,2101,13,6931,6400.898404903,14.971847798000454,1122.64031980373,3703.4840821321527
"192.168.1.104",41100,"13.65.102.222",8883,30,9163,16,2167,14,6996,6445.98123069,14.961088795999785,1158.7391958154278,3740.904205779757
"192.168.1.104",41102,"13.65.102.222",8883,30,9164,16,2167,14,6997,6491.053955232,14.969688631000281,1158.073519585397,3739.289532320731
"192.168.1.104",41104,"13.65.102.222",8883,30,9160,16,2167,14,6993,6536.133298572,14.968325498000013,1158.1789828338742,3737.4922136397245
"192.168.1.104",41106,"13.65.102.222",8883,30,9163,16,2167,14,6996,6581.213467171,14.96870542400029,1158.1495866839675,3739.000696096464
