"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",44438,"13.65.102.222",8883,28,9020,15,2128,13,6892,81065.231466169,15.010236738991807,1134.1593271328677,3673.226542575059
"192.168.1.104",44440,"13.65.102.222",8883,28,9019,15,2128,13,6891,81110.350431739,14.98997217399301,1135.692568498289,3677.658594700051
"192.168.1.104",44442,"13.65.102.222",8883,28,9022,15,2128,13,6894,81155.450473991,14.990380417992128,1135.6616393515292,3679.1594650796246
"192.168.1.104",44444,"13.65.102.222",8883,28,9021,15,2128,13,6893,81200.550561168,14.961363326001447,1137.86421925961,3685.7603681186524
"192.168.1.104",44446,"13.65.102.222",8883,28,9019,15,2128,13,6891,81245.610849857,15.002222666007583,1134.7651863995734,3674.6554978756863
"192.168.1.104",44448,"13.65.102.222",8883,28,9019,15,2128,13,6891,81290.72215244,15.000933204006287,1134.8627294369535,3674.971366799834
"192.168.1.104",44450,"13.65.102.222",8883,28,9020,15,2128,13,6892,81335.832870144,14.968493337990367,1137.322215108498,3683.470256826959
"192.168.1.104",44452,"13.65.102.222",8883,28,9025,15,2128,13,6897,81380.913856519,14.96819507201144,1137.344878129805,3686.215988938565
"192.168.1.104",44454,"13.65.102.222",8883,28,9019,15,2128,13,6891,81425.994898364,14.998079869998037,1135.0786332358841,3675.670517682556
"192.168.1.104",44456,"13.65.102.222",8883,28,9020,15,2128,13,6892,81471.103067388,14.99987112999952,1134.9430840077189,3675.764913055074
"192.168.1.104",44458,"13.65.102.222",8883,28,9020,15,2128,13,6892,81516.212305329,14.970387648005271,1137.1783016098693,3683.004161040986
"192.168.1.104",44460,"13.65.102.222",8883,28,9020,15,2128,13,6892,81561.294020031,15.001320290000876,1134.8334460499013,3675.409826210489
"192.168.1.104",44462,"13.65.102.222",8883,28,9024,15,2128,13,6896,81606.4031735,14.9959991479991,1135.2361274487998,3678.8479017325767
"192.168.1.104",44464,"13.65.102.222",8883,28,9022,15,2128,13,6894,81651.510564469,14.990485664995504,1135.653665961803,3679.1336339946756
"192.168.1.104",44466,"13.65.102.222",8883,28,9025,15,2128,13,6897,81696.610402309,14.961776038995595,1137.832831852952,3687.797481809121
"192.168.1.104",44468,"13.65.102.222",8883,28,9022,15,2128,13,6894,81741.684282978,14.997886250988813,1135.0932868208415,3677.3181951799256
"192.168.1.104",44470,"13.65.102.222",8883,28,9021,15,2128,13,6893,81786.793652035,14.999008685001172,1135.0083433863063,3676.5096386098726
"192.168.1.104",44472,"13.65.102.222",8883,26,8891,14,2062,12,6829,81831.902175218,14.999198677003733,1099.792085912637,3642.3279120743928
"192.168.1.104",44474,"13.65.102.222",8883,28,9019,15,2128,13,6891,81876.997625777,14.974642283996218,1136.8552034257261,3681.4234994392286
"192.168.1.104",44476,"13.65.102.222",8883,29,9084,16,2194,13,6890,81922.084583072,14.996155057990109,1170.4333498904514,3675.608833521062
"192.168.1.104",44478,"13.65.102.222",8883,28,9019,15,2128,13,6891,81967.192706722,14.99937470300938,1134.9806466655182,3675.353212486882
"192.168.1.104",44480,"13.65.102.222",8883,28,9019,15,2128,13,6891,82012.301689858,15.004330256997491,1134.6057910222687,3674.1393354955144
"192.168.1.104",44482,"13.65.102.222",8883,28,9021,15,2128,13,6893,82057.413584215,14.968007282004692,1137.3591473640668,3684.124343411895
"192.168.1.104",44484,"13.65.102.222",8883,28,9019,15,2128,13,6891,82102.493838582,14.975787033996312,1136.768302150269,3681.1420912206313
"192.168.1.104",44486,"13.65.102.222",8883,29,9083,16,2194,13,6889,82147.577609259,15.000899325008504,1170.0631821945815,3673.913063873506
"192.168.1.104",44488,"13.65.102.222",8883,28,9024,15,2128,13,6896,82192.684418638,14.968236581000383,1137.3417241152547,3685.671301456201
"192.168.1.104",44490,"13.65.102.222",8883,28,9019,15,2128,13,6891,82237.764932196,14.9733236359898,1136.955322269346,3681.747709472774
"192.168.1.104",44492,"13.65.102.222",8883,29,9084,16,2194,13,6890,82282.848572489,14.999443340988364,1170.1767592958845,3674.803040815244
"192.168.1.104",44494,"13.65.102.222",8883,29,9084,16,2194,13,6890,82327.95782775,14.965265024002292,1172.849259391593,3683.1957143154405
"192.168.1.104",44496,"13.65.102.222",8883,28,9021,15,2128,13,6893,82373.033963246,14.967397111002356,1137.4055137139283,3684.2745329088852
"192.168.1.104",44498,"13.65.102.222",8883,28,9019,15,2128,13,6891,82418.113918984,14.993994192001992,1135.387928126639,3676.6720924439237
"192.168.1.104",44500,"13.65.102.222",8883,29,9087,16,2194,13,6893,82463.21657809,14.994150748010725,1170.5898049830282,3677.7007865761225
"192.168.1.104",44502,"13.65.102.222",8883,28,9017,15,2128,13,6889,82508.322500106,14.96983224399446,1137.2204926898644,3681.5375818329308
"192.168.1.104",44504,"13.65.102.222",8883,26,8888,14,2062,12,6826,82553.405021231,14.973005621999619,1101.7160092268093,3647.09674053453
"192.168.1.104",44506,"13.65.102.222",8883,26,8888,14,2062,12,6826,82598.485364004,14.99962250101089,1099.7610105779836,3640.624955482695
"192.168.1.104",44508,"13.65.102.222",8883,28,9020,15,2128,13,6892,82643.592979326,14.997422943997663,1135.1283526223033,3676.3649465568205
"192.168.1.104",44510,"13.65.102.222",8883,29,9085,16,2194,13,6891,82688.701946537,14.969504007007345,1172.5171382955486,3682.687146761452
"192.168.1.104",44512,"13.65.102.222",8883,28,9016,15,2128,13,6888,82733.783814793,14.96925721700245,1137.2641777217725,3681.1445752573163
"192.168.1.104",44514,"13.65.102.222",8883,29,9082,16,2194,13,6888,82778.864698471,14.995998127997154,1170.4455982313611,3674.5803466807724
"192.168.1.104",44516,"13.65.102.222",8883,28,9019,15,2128,13,6891,82823.971084518,15.000362052000128,1134.905940335623,3675.111294573674
"192.168.1.104",44518,"13.65.102.222",8883,28,9018,15,2128,13,6890,82869.079987753,14.972133513001609,1137.0456979438886,3681.506042684865
"192.168.1.104",44520,"13.65.102.222",8883,28,9018,15,2128,13,6890,82914.162377932,14.971412366998265,1137.100467389856,3681.683374208698
"192.168.1.104",44522,"13.65.102.222",8883,28,9020,15,2128,13,6892,82959.244035888,14.999447320995387,1134.9751517958105,3675.8687716995887
