"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"::1",41184,"::1",4433,20,24694,11,11005,9,13689,3.03869517,0.018347621000000203,4798442.261260957,5968730.223934689
"::1",41186,"::1",4433,19,24570,10,10919,9,13651,3.062883873,0.01903702499999982,4588532.084188619,5736610.631125454
"::1",41188,"::1",4433,20,24680,11,11005,9,13675,3.086853972,0.019915702999999674,4420632.302058403,5493152.815142995
"::1",41190,"::1",4433,19,24576,10,10919,9,13657,3.112792229,0.024958080999999854,3499948.573770576,4377580.15129451
"::1",41192,"::1",4433,19,24592,10,10919,9,13673,3.141724584,0.024590905000000163,3552207.61496982,4448148.614294564
"::1",41194,"::1",4433,20,24679,11,11005,9,13674,3.170281073,0.021539525000000115,4087369.614696681,5078663.526702628
"::1",41196,"::1",4433,18,24522,10,10919,8,13603,3.197448393,0.024140261999999968,3618519.136204906,4507987.527227341
"::1",41198,"::1",4433,18,24523,10,10919,8,13604,3.225682795,0.021514879999999792,4060073.772198629,5058452.568640915
"::1",41200,"::1",4433,19,24595,10,10919,9,13676,3.253739786,0.020277241999999696,4307883.685562431,5395605.575945765
"::1",41202,"::1",4433,19,24591,11,11005,8,13586,3.278160901,0.01951446999999984,4511524.012694207,5569610.653018037
"::1",41204,"::1",4433,19,24586,10,10919,9,13667,3.303569458,0.022139802999999958,3945473.22756215,4938435.992406988
"::1",41206,"::1",4433,20,24677,11,11005,9,13672,3.330858947,0.022797237000000248,3861871.5066215717,4797774.396958667
"::1",41208,"::1",4433,19,24608,10,10919,9,13689,3.357801741,0.021714876000000327,4022680.1203008797,5043178.694642251
"::1",41210,"::1",4433,20,24679,11,11005,9,13674,3.385498282,0.02000456099999992,4400996.352781765,5468352.942111573
"::1",41212,"::1",4433,19,24587,10,10919,9,13668,3.412029998,0.02040288900000009,4281354.468967587,5359241.03689431
"::1",41214,"::1",4433,20,24678,11,11005,9,13673,3.4387616579999998,0.023403454000000323,3761837.8893986666,4673840.023784459
"::1",41216,"::1",4433,19,24594,10,10919,9,13675,3.466723158,0.02207452799999965,3957140.102837143,4955938.355737515
"::1",41218,"::1",4433,19,24591,11,11005,8,13586,3.495478204,0.021671529000000245,4062472.9339586054,5015243.732917911
"::1",41220,"::1",4433,19,24594,10,10919,9,13675,3.523331264,0.021579122999999978,4047986.5655337377,5069714.835028287
"::1",41222,"::1",4433,20,24680,11,11005,9,13675,3.551895075,0.0242904949999998,3624462.9843896027,4503819.292278766
"::1",41224,"::1",4433,20,24658,11,11005,9,13653,3.581545922,0.01891951599999997,4653395.995965232,5773086.372822654
