"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",44938,"13.65.102.222",8883,28,7752,15,1494,13,6258,91897.863960488,14.97089308599243,798.3491653669568,3344.089074207775
"192.168.1.104",44940,"13.65.102.222",8883,28,7758,15,1494,13,6264,91942.945385338,14.997155909004505,796.9511067644399,3341.4335560725913
"192.168.1.104",44942,"13.65.102.222",8883,28,7750,15,1494,13,6256,91988.053244414,14.970652999007143,798.3619686324076,3343.0739462947404
"192.168.1.104",44944,"13.65.102.222",8883,28,7753,15,1494,13,6259,92033.13575111,14.968140701996163,798.4959680667667,3345.238463273021
"192.168.1.104",44946,"13.65.102.222",8883,28,7753,15,1494,13,6259,92078.200203522,14.963831626999308,798.725907770504,3346.201778270137
"192.168.1.104",44948,"13.65.102.222",8883,28,7750,15,1494,13,6256,92123.276351197,14.985731298002065,797.5586751374269,3339.710221994473
"192.168.1.104",44950,"13.65.102.222",8883,28,7753,15,1494,13,6259,92168.373240628,14.971930311003234,798.2938573535963,3344.391735727014
"192.168.1.104",44952,"13.65.102.222",8883,28,7754,15,1494,13,6260,92213.457026225,14.967805915992358,798.5138280841737,3345.8477669390413
"192.168.1.104",44954,"13.65.102.222",8883,28,7752,15,1494,13,6258,92258.513606325,14.998803378010052,796.8635696313606,3337.8662776124866
"192.168.1.104",44956,"13.65.102.222",8883,28,7754,15,1494,13,6260,92303.623037568,14.999064103991259,796.8497178980365,3338.8749893184126
"192.168.1.104",44958,"13.65.102.222",8883,28,7756,15,1494,13,6262,92348.733502004,14.971083240001462,798.3390251992769,3346.1840534122302
"192.168.1.104",44960,"13.65.102.222",8883,28,7754,15,1494,13,6260,92393.812164939,14.978365615010262,797.9508784337958,3343.488955150978
"192.168.1.104",44962,"13.65.102.222",8883,28,7752,15,1494,13,6258,92438.896785741,14.997269475003122,796.9450718959966,3338.207670632629
"192.168.1.104",44964,"13.65.102.222",8883,28,7755,15,1494,13,6261,92483.983637178,14.999815071001649,796.809823549503,3339.241168168299
"192.168.1.104",44966,"13.65.102.222",8883,28,7753,15,1494,13,6259,92529.095058161,14.972254606007482,798.276566523546,3344.319297102326
"192.168.1.104",44968,"13.65.102.222",8883,28,7752,15,1494,13,6258,92574.150513666,14.981202638999093,797.7997686838927,3341.7877860935746
"192.168.1.104",44970,"13.65.102.222",8883,28,7751,15,1494,13,6257,92619.233874645,14.98908066500735,797.3804576222246,3339.4976729198524
"192.168.1.104",44972,"13.65.102.222",8883,28,7751,15,1494,13,6257,92664.332431804,14.998965481005143,796.8549574393078,3337.296833131023
"192.168.1.104",44974,"13.65.102.222",8883,28,7751,15,1494,13,6257,92709.442935104,14.969765489004203,798.4093009859871,3343.8065570745125
"192.168.1.104",44976,"13.65.102.222",8883,28,7750,15,1494,13,6256,92754.490657628,14.974947711001732,798.1330039115364,3342.115175683114
"192.168.1.104",44978,"13.65.102.222",8883,28,7754,15,1494,13,6260,92799.574906413,14.999787563996506,796.811284760325,3338.713950869902
"192.168.1.104",44980,"13.65.102.222",8883,28,7753,15,1494,13,6259,92844.683626638,14.99265437500435,797.1903907773858,3339.7688459676424
"192.168.1.104",44982,"13.65.102.222",8883,28,7752,15,1494,13,6258,92889.782160171,14.971341846001451,798.3252351686929,3343.9888364696653
"192.168.1.104",44984,"13.65.102.222",8883,28,7752,15,1494,13,6258,92934.84417352,14.97039539499383,798.3757064958221,3344.200248494548
"192.168.1.104",44986,"13.65.102.222",8883,28,7756,15,1494,13,6262,92979.924898249,14.988809642003616,797.3948756081692,3342.2267142291535
"192.168.1.104",44988,"13.65.102.222",8883,28,7754,15,1494,13,6260,93025.025310295,14.973706077013048,798.1991858614192,3344.529386541154
"192.168.1.104",44990,"13.65.102.222",8883,28,7751,15,1494,13,6257,93070.108908226,14.970999929006211,798.3434678162732,3343.530842119426
"192.168.1.104",44992,"13.65.102.222",8883,28,7750,15,1494,13,6256,93115.191842413,15.002250025005196,796.6804965974336,3336.0329228336977
"192.168.1.104",44994,"13.65.102.222",8883,28,7749,15,1494,13,6255,93160.283585716,14.999416406004457,796.8310017192044,3336.1297963545003
"192.168.1.104",44996,"13.65.102.222",8883,28,7751,15,1494,13,6257,93205.393575396,14.971163367008558,798.3347524173181,3343.4943412819007
"192.168.1.104",44998,"13.65.102.222",8883,28,7755,15,1494,13,6261,93250.476733866,14.995811432992923,797.0225588262531,3340.1326913060043
