ligthsaber,kyber512,ntruhps2048509,ntrulpr653,frodoKEM640
KeyGen,Enc,Dec
152578.20510255126,384207.0,25327.72953815107,641493883.5577302
210387.5852926463,420216.0,33042.90822401316,1091833783.9005568
252406.5907953977,501412.0,38886.79865049675,1512183109.284276
124819.67583791896,357607.0,19671.45713990133,386966226.00697505
168732.84742371185,440450.0,25316.391923025523,640919700.000232
202861.70785392696,477414.0,28484.60280599332,811372597.0152025
19003260.23511756,35504757.0,700749.6245306068,491050036279.7863
718035.1940970485,1601506.0,38430.77621135758,1476924560.2074475
1706119.1785892947,3478803.0,77495.19848773179,6005505788.652947
24858716.067033518,43326196.0,1789044.504405627,3200680238743.9756
46595423.43471736,80790539.0,3047266.4554256336,9285832850362.305
69795389.08504252,116425309.0,4119871.788736707,16973343555628.594
2266878.7168584294,3679771.0,70980.02801151972,5038164376.516125
8644120.31515758,12141048.0,144192.57198012265,20791497814.24285
8585705.770885443,11904027.0,135529.58305519907,18368267883.1161
